,PRCP,PRCP_3d,PRCP_5d,TMAX_5d
248,-1.3180478,-0.73923534,-0.993896,0.24604598
249,-0.6901007,-0.6349298,0.8914488,-0.24736941
250,0.51423883,1.17882,-0.6309747,1.3774534
251,0.24678597,1.1835595,1.0219119,0.7674945
252,-0.8036046,-0.6670614,0.4300178,-0.3012105
253,0.42656997,-0.5281613,-0.57894784,-0.68805206
254,0.5348632,-0.5552009,-0.54223776,1.4387896
255,0.45947173,-0.5430352,-0.5666437,-0.7715259
256,0.29643136,0.99785656,0.9498908,1.5292244
257,-1.2884666,-0.7209865,-0.8278536,0.24604598
258,0.45947173,-0.9096076,-0.675555,-0.38477615
259,0.2975416,0.6671709,0.74103576,1.554452
260,-1.4728758,-0.57116395,-0.9707762,1.1473216
261,0.011831294,-0.7110704,-0.78064644,-0.36761904
262,0.04212261,-0.54897684,0.96640456,0.108513676
263,0.45947173,-0.6239244,-0.55094147,-0.79507315
264,0.45947173,-0.6413252,-0.5666437,-0.7619701
265,0.21383876,0.825421,0.7260449,0.09930232
266,0.4083915,-0.5490436,-0.0102806445,1.4585919
267,0.025372738,0.62191117,1.1595213,0.6155588
268,0.34283128,-0.39268085,0.04342233,-0.8730897
269,-1.0229486,-0.45974272,0.97074676,1.254224
270,0.47029752,1.2022978,-0.6309747,0.9133861
271,0.21272852,0.7525963,0.857081,-1.3194045
272,0.21272852,0.26521578,1.0312071,-0.07452639
273,0.44867864,-0.70285594,-0.6720475,-0.3930356
274,0.3644503,0.19759877,-0.113522924,0.76174366
275,0.29643136,0.99785656,0.9498908,1.5292244
276,0.24491717,1.1853461,0.51582515,0.7487771
277,0.2524901,1.1185149,0.9675464,0.95032084
278,-0.014790929,-0.82380563,-0.7860824,0.95453686
279,0.430536,1.0392509,-0.6066002,-0.67246914
280,0.21085973,-0.42096072,0.4824099,-0.9075995
281,0.04283825,0.22007334,0.66576284,0.8749657
282,0.430536,1.3401134,-0.6285474,0.050306328
283,-0.14615078,-0.514417,0.92524415,0.4147476
284,0.4935291,-0.89184153,-0.69701487,0.28204215
285,0.5323814,-0.59591,-0.6744748,1.2023512
286,-1.510216,-0.7856558,-0.978371,0.7765925
287,-0.6901007,-0.3690565,0.7919479,-0.9015908
288,0.5431745,-0.8177085,-0.67389506,1.3987484
289,0.21085973,0.82461214,0.49863547,-0.035874315
290,0.21272852,0.8014591,0.88126016,-1.1301341
291,0.24678597,1.1835595,1.0219119,0.7674945
292,0.29643136,0.99785656,0.9498908,1.5292244
293,-0.6901007,-0.42954603,0.8053982,-0.71806896
294,-1.471905,-0.62604886,-0.7828853,0.9108832
295,0.28299364,0.19581221,0.9659776,1.0948819
296,0.032729242,-0.6667685,0.690206,-0.33785605
297,-0.8574497,-0.59913325,0.06863963,-0.14660206
298,0.22884707,0.26602456,1.0494434,0.264153
299,0.4935291,-0.6782805,-0.6935074,0.29138532
300,-0.815593,-0.5227828,-0.8707088,-0.67685825
301,0.21085973,0.26700234,0.45857686,-0.15978743
302,-1.3469038,-0.89521843,-0.978371,0.61156344
303,-1.5145302,-0.8786635,-0.9742837,1.1072809
304,0.29456258,-0.5490436,0.63653123,1.5456918
305,0.430536,-0.53356194,-0.6505991,-0.6149659
306,0.4935291,-0.8482132,-0.69701487,0.2891588
307,0.0035198778,0.6068509,-0.5034081,-1.0118951
308,-0.0148778865,-0.74681956,-0.7801476,-0.36761904
309,0.22884707,1.2418525,1.051012,0.50400984
310,0.256416,1.1032279,0.9675464,0.9998919
311,0.51423883,0.3084307,-0.63299406,1.2434863
312,-1.1908625,-0.68487936,-0.85133004,-0.6791699
313,0.21272852,0.7525963,0.857081,-1.3194045
314,-1.5014861,-0.6149203,-0.9707762,1.1473216
315,0.24678597,1.1835595,1.0219119,0.7674945
316,0.21085973,0.92887175,0.37409493,-0.909972
317,-1.362083,-0.89521843,-0.978371,0.6267425
318,0.4935291,-0.6782805,-0.6935074,0.29138532
319,-1.1908625,-0.765179,-0.88631105,-0.5638892
320,-1.5145302,-0.6344047,-0.9707762,1.1473216
321,-1.5145302,-0.8786635,-0.9742837,1.1072809
322,0.21383876,0.75438297,0.5214495,-1.3522649
323,0.40767667,1.1050143,-0.11195413,1.3030393
324,-1.1908625,-0.6068611,-0.87558234,-0.64420146
325,0.03320815,-0.11711685,0.66320246,0.4899457
326,-0.029637057,-0.73602635,-0.7761816,-0.36761904
327,-1.0229486,-0.45974272,0.97074676,1.254224
328,-1.1908625,-0.7051512,-0.87558234,-0.6346457
329,0.39495382,-0.5962963,-0.014367906,1.0213274
330,0.21085973,1.2428303,0.46014556,0.080069356
331,-1.1612813,-0.50632167,-0.8258709,-0.6457761
332,0.29571652,1.1032279,0.9675464,1.3354591
333,0.45628193,-0.6799274,-0.5658564,0.29138532
334,-1.5145302,-0.8786635,-0.9742837,1.1072809
335,0.51352394,-0.6405983,-0.6749736,1.0706573
336,0.51352394,1.2022978,-0.6309747,1.283237
337,0.21272852,1.2410437,1.0327759,0.1653303
338,0.21272852,0.7525963,0.857081,-1.3194045
339,0.29456258,-0.5490436,0.63653123,1.5456918
340,0.032729242,-0.4667854,0.66519976,-0.6067397
341,0.47422343,0.2944314,-0.63299406,0.7762254
342,-1.1908625,-0.68487936,-0.85133004,-0.6791699
343,-1.1908625,-0.68487936,-0.85133004,-0.6791699
344,0.256416,1.1032279,0.9675464,0.9998919
345,-0.0148778865,-0.49499837,-0.6797864,-0.7198017
346,-1.1612813,-0.50873077,-0.8016186,-0.7072392
347,-0.014398945,-0.92501193,-0.805115,0.27388027
348,0.21085973,0.9419677,0.43513933,-0.68965936
349,0.048847795,0.28309786,0.64673024,0.41159305
350,0.45947173,-0.9096076,-0.675555,-0.38477615
351,0.29643136,0.99785656,0.9498908,1.5292244
352,0.5316665,-0.6099093,-0.6744748,1.0706573
353,0.45116028,-0.6945914,-0.52553517,-0.28230748
354,-0.016286427,0.31690598,-0.7410943,1.0261031
355,-1.5145302,-0.83503515,-0.9742837,1.1143974
356,0.39046583,-0.56955427,-0.013869105,0.75489265
357,0.45947173,-0.9096076,-0.675555,-0.38477615
358,0.21085973,-0.6884342,0.5481426,-0.28049663
359,0.4479402,-0.71042895,-0.6637361,-0.3930356
360,0.21085973,-0.689243,0.5577321,-0.36327255
361,-0.007243794,0.44861895,-0.05578075,-0.9578647
362,-1.510216,-0.7856558,-0.978371,0.7765925
363,0.23021905,0.26062328,0.51425624,0.42707023
364,0.44867864,-0.45103484,-0.5716863,-0.74521834
365,0.34283128,-0.39268085,0.04342233,-0.8730897
366,-1.5145302,-0.6676581,-0.9748635,0.9108832
367,0.42222455,1.2790977,-0.54004866,0.16103444
368,-1.5145302,-0.8786635,-0.9742837,1.1072809
369,-1.1908625,-0.77057964,-0.9539964,-0.49080336
370,0.430536,0.239748,-0.5302056,-0.91764104
371,0.29682675,-0.50904363,0.7960449,1.1514544
372,-1.1908625,-0.50919265,-0.87207484,-0.6429051
373,0.21085973,-0.4233698,0.45823088,-1.0174941
374,0.21319172,-0.64274347,0.55823094,-0.36327255
375,0.24678597,0.7653416,1.0604014,0.6515508
376,0.0053263367,-0.5556297,0.7649179,1.2482585
377,0.2975416,-0.46179092,0.8001321,1.5195864
378,0.2975416,-0.11998923,0.7133619,1.3566025
379,-0.15335491,-0.39009193,1.0718532,-0.5700063
380,-1.1482371,-0.4671217,-0.6558445,-0.7072392
381,0.47029752,1.2175848,-0.6309747,0.8980991
382,0.36837623,-0.5962963,-0.014367906,0.75489265
383,0.45947173,-0.9151287,-0.65719235,-0.2803779
384,-1.1908625,-0.7051512,-0.87558234,-0.6346457
385,-1.1908625,-0.5865893,-0.85133004,-0.68872565
386,0.29643136,0.24306484,0.948322,1.5104035
387,0.011831294,-0.5056867,-0.69101393,-0.66263545
388,0.45947173,-0.8772519,-0.675555,-0.38893226
389,0.5431745,-0.57344973,-0.67038757,1.4387896
390,-0.0148778865,-0.6247392,-0.6590415,-0.77381265
391,0.27593473,1.1032279,0.9675464,1.2279736
392,0.22884707,0.8236343,1.0895019,0.38806608
393,0.45628193,-0.6799274,-0.5658564,0.29138532
394,0.5431745,-0.60251033,-0.6744748,1.2270454
395,0.430536,-0.46767172,-0.54793274,-0.8231425
396,0.45947173,-0.9096076,-0.675555,-0.38477615
397,0.22884707,1.1824381,1.0219119,0.59252447
398,0.29456258,-0.5490436,0.63653123,1.5456918
399,0.27593473,1.1032279,0.9675464,1.2279736
400,-1.3180478,-0.9091682,-0.9974035,0.24381945
401,0.29643136,1.07975,0.9675464,1.4296755
402,0.21272852,1.2410437,1.0327759,0.1653303
403,0.430536,1.0261549,-0.53891486,-0.76405174
404,0.44867864,-0.70285594,-0.6720475,-0.3930356
405,0.5431745,-0.8177085,-0.67389506,1.3987484
406,0.45116028,-0.44777593,-0.53912246,-0.8231425
407,0.21272852,0.9270851,0.9124254,-0.8590108
408,-1.1908625,-0.6525237,-0.85133004,-0.68332595
409,0.21272852,0.7525963,0.857081,-1.3194045
410,-1.3180478,-0.9091682,-0.9974035,0.24381945
411,0.22884707,1.2418525,1.051012,0.50400984
412,0.430536,1.0261549,-0.53891486,-0.76405174
413,0.22884707,0.26602456,1.0494434,0.264153
414,0.22697829,-0.6549957,0.6134114,0.22331749
415,-0.03536152,0.22007334,-0.13485096,1.0459055
416,-1.1719375,-0.49473032,0.051438257,1.1671239
417,-0.3919043,-0.43944332,0.96752673,0.7388387
